Kitap_Adi;Yazar;Puan;Yorum_Sayisi;Fiyat_USD;Analiz_Yili;Tur
Catching Fire (The Hunger Games);Suzanne Collins;4.7;22614;11;2010;Fiction
Cutting for Stone;Abraham Verghese;4.6;4866;11;2010;Fiction
Dead in the Family (Sookie Stackhouse/True Blood, Book 10);Charlaine Harris;4.3;1924;8;2010;Fiction
Little Bee: A Novel;Chris Cleave;4.1;1467;10;2010;Fiction
Mockingjay (The Hunger Games);Suzanne Collins;4.5;26741;8;2010;Fiction
Percy Jackson and the Olympians Paperback Boxed Set (Books 1-3);Rick Riordan;4.8;548;2;2010;Fiction
Sarah's Key;Tatiana de Rosnay;4.6;3619;10;2010;Fiction
The Art of Racing in the Rain: A Novel;Garth Stein;4.7;11813;10;2010;Fiction
The Confession: A Novel;John Grisham;4.3;3523;13;2010;Fiction
The Girl Who Kicked the Hornet's Nest (Millennium Trilogy);Stieg Larsson;4.7;7747;14;2010;Fiction
The Girl Who Played with Fire (Millennium Series);Stieg Larsson;4.7;7251;9;2010;Fiction
The Girl with the Dragon Tattoo (Millennium Series);Stieg Larsson;4.4;10559;2;2010;Fiction
The Help;Kathryn Stockett;4.8;13871;6;2010;Fiction
The Hunger Games;Suzanne Collins;4.7;32122;14;2010;Fiction
The Last Olympian (Percy Jackson and the Olympians, Book 5);Rick Riordan;4.8;4628;7;2010;Fiction
The Lost Hero (Heroes of Olympus, Book 1);Rick Riordan;4.8;4506;14;2010;Fiction
The Red Pyramid (The Kane Chronicles, Book 1);Rick Riordan;4.6;2186;12;2010;Fiction
The Short Second Life of Bree Tanner: An Eclipse Novella (The Twilight Saga);Stephenie Meyer;4.6;2122;0;2010;Fiction
The Ugly Truth (Diary of a Wimpy Kid, Book 5);Jeff Kinney;4.8;3796;12;2010;Fiction
Towers of Midnight (Wheel of Time, Book Thirteen);Robert Jordan;4.8;2282;21;2010;Fiction
